PID,Province,DID,District,Tehsil,Area,Charge,Circle,ID,Population,No. of HH
1,Balochistan,11,QUETTA DISTRICT,PANJ PAI SUB-TEHSIL,PANJ PAI QH,SHIRAROOD PC,CHACHEZAI,451040106,"2,871",356
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060102,641,92
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060103,898,139
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060104,137,22
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060105,"2,569",252
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060106,"1,422",145
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060107,227,47
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060108,800,142
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060201,"1,575",152
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060202,910,86
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060203,97,13
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060204,143,14
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060205,741,75
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060206,401,71
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 01,477060207,"1,633",287
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 02,477060201,"1,575",152
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 02,477060202,910,86
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 02,477060203,97,13
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 02,477060204,143,14
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 02,477060205,741,75
1,Balochistan,11,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN M.C.,CHARGE NO 06,CIRCLE NO 02,477060206,401,71
