PID,Province,DID,District,Crop,Year,(Area in '000' Hectares),"(Production in ""000""Tonnes)"
1,Balochistan,125,Awaran,Wheat,1981-82,0,0
1,Balochistan,113,Barkhan,Wheat,1981-82,0,0
1,Balochistan,119,Bolan,Wheat,1981-82,0,0
1,Balochistan,15,Chagai,Wheat,1981-82,5.5,4.4
1,Balochistan,19,DERA BUGTI,Wheat,1981-82,0,0
1,Balochistan,129,Gwadar,Wheat,1981-82,0.3,0.4
1,Balochistan,117,JAFARABAD,Wheat,1981-82,0,0
1,Balochistan,120,JHAL MAGSI,Wheat,1981-82,0,0
1,Balochistan,128,KACHHI,Wheat,1981-82,5.8,8.4
1,Balochistan,123,Kalat,Wheat,1981-82,25,23.5
1,Balochistan,126,Kharan,Wheat,1981-82,5.5,3.9
1,Balochistan,124,Khuzdar,Wheat,1981-82,3.5,3.6
1,Balochistan,13,KILLA ABDULLAH,Wheat,1981-82,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1981-82,0,0
1,Balochistan,18,Kohlu,Wheat,1981-82,6.2,3.9
1,Balochistan,121,Lasbela,Wheat,1981-82,0.7,0.7
1,Balochistan,111,Loralai,Wheat,1981-82,13.3,13.6
1,Balochistan,122,Mastung,Wheat,1981-82,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1981-82,0,0
1,Balochistan,118,NASEERABAD,Wheat,1981-82,111.3,209.4
1,Balochistan,130,PANJGUR,Wheat,1981-82,0.2,0.1
1,Balochistan,12,Pishin,Wheat,1981-82,17.6,18.1
1,Balochistan,11,Quetta,Wheat,1981-82,2,2.5
1,Balochistan,16,Sibi,Wheat,1981-82,10,16.1
1,Balochistan,134,Tomboo,Wheat,1981-82,0,0
1,Balochistan,135,Turbat,Wheat,1981-82,1.5,1.5
1,Balochistan,115,Zhob,Wheat,1981-82,7.7,8.1
1,Balochistan,110,Ziarat,Wheat,1981-82,0,0
1,Balochistan,125,Awaran,Wheat,1982-83,0,0
1,Balochistan,113,Barkhan,Wheat,1982-83,0,0
1,Balochistan,119,Bolan,Wheat,1982-83,0,0
1,Balochistan,15,Chagai,Wheat,1982-83,3.4,3.2
1,Balochistan,19,DERA BUGTI,Wheat,1982-83,0,0
1,Balochistan,129,Gwadar,Wheat,1982-83,0.5,0.4
1,Balochistan,117,JAFARABAD,Wheat,1982-83,0,0
1,Balochistan,120,JHAL MAGSI,Wheat,1982-83,0,0
1,Balochistan,128,KACHHI,Wheat,1982-83,15.1,15.8
1,Balochistan,123,Kalat,Wheat,1982-83,34,38.4
1,Balochistan,126,Kharan,Wheat,1982-83,6,4.7
1,Balochistan,124,Khuzdar,Wheat,1982-83,50.9,60.9
1,Balochistan,13,KILLA ABDULLAH,Wheat,1982-83,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1982-83,0,0
1,Balochistan,18,Kohlu,Wheat,1982-83,16.2,27.4
1,Balochistan,121,Lasbela,Wheat,1982-83,0.3,0.5
1,Balochistan,111,Loralai,Wheat,1982-83,15,17
1,Balochistan,122,Mastung,Wheat,1982-83,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1982-83,0,0
1,Balochistan,118,NASEERABAD,Wheat,1982-83,93.1,185
1,Balochistan,130,PANJGUR,Wheat,1982-83,1.2,0.8
1,Balochistan,12,Pishin,Wheat,1982-83,20.8,27.3
1,Balochistan,11,Quetta,Wheat,1982-83,2.3,3.4
1,Balochistan,16,Sibi,Wheat,1982-83,11.4,19.1
1,Balochistan,134,Tomboo,Wheat,1982-83,0,0
1,Balochistan,135,Turbat,Wheat,1982-83,1.6,1.5
1,Balochistan,115,Zhob,Wheat,1982-83,7.9,8.8
1,Balochistan,110,Ziarat,Wheat,1982-83,0,0
1,Balochistan,125,Awaran,Wheat,1983-84,0,0
1,Balochistan,113,Barkhan,Wheat,1983-84,0,0
1,Balochistan,119,Bolan,Wheat,1983-84,0,0
1,Balochistan,15,Chagai,Wheat,1983-84,2.7,3.1
1,Balochistan,19,DERA BUGTI,Wheat,1983-84,0,0
1,Balochistan,129,Gwadar,Wheat,1983-84,0.5,0.4
1,Balochistan,117,JAFARABAD,Wheat,1983-84,0,0
1,Balochistan,120,JHAL MAGSI,Wheat,1983-84,0,0
1,Balochistan,128,KACHHI,Wheat,1983-84,4.2,7.4
