Year,PID,Province,DID,District,Livestock,Livestock Type,Sex,Farm Type,NUMBER OF FARMS,NUMBER OF ANIMALS
1996,1,Balochistan,11,Quetta,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,FARM HOUSEHOLDS,196,465
1996,1,Balochistan,125,AWARAN,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,980,1330
1996,1,Balochistan,125,AWARAN,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,125,AWARAN,Cattle,COWS 3 YEARS AND OVER,F,FARM HOUSEHOLDS,2278,5378
1996,1,Balochistan,125,AWARAN,Cattle,COWS 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,1439,2877
1996,1,Balochistan,125,AWARAN,Cattle,COWS 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,125,AWARAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,1599,2527
1996,1,Balochistan,125,AWARAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,972,1335
1996,1,Balochistan,125,AWARAN,Cattle,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,125,AWARAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,FARM HOUSEHOLDS,215,215
1996,1,Balochistan,125,AWARAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,71,71
1996,1,Balochistan,125,AWARAN,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,125,AWARAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,FARM HOUSEHOLDS,41,308
1996,1,Balochistan,125,AWARAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,,
1996,1,Balochistan,125,AWARAN,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,125,AWARAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,14,88
1996,1,Balochistan,125,AWARAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,,
1996,1,Balochistan,125,AWARAN,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,125,AWARAN,Goats,MALE GOATS 1 YEAR AND OVER,M,FARM HOUSEHOLDS,3267,25676
1996,1,Balochistan,125,AWARAN,Goats,MALE GOATS 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,2590,11498
1996,1,Balochistan,125,AWARAN,Goats,MALE GOATS 1 YEAR AND OVER,M,Other,180,180
1996,1,Balochistan,125,AWARAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,FARM HOUSEHOLDS,3638,46376
1996,1,Balochistan,125,AWARAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,NON-FARM HOUSEHOLDS,2994,34539
1996,1,Balochistan,125,AWARAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,Other,497,1010
1996,1,Balochistan,125,AWARAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,FARM HOUSEHOLDS,3485,24464
1996,1,Balochistan,125,AWARAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,NON-FARM HOUSEHOLDS,2949,15677
1996,1,Balochistan,125,AWARAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,Other,411,457
1996,1,Balochistan,125,AWARAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,FARM HOUSEHOLDS,742,4715
1996,1,Balochistan,125,AWARAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,608,1779
1996,1,Balochistan,125,AWARAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,Other,25,37
1996,1,Balochistan,125,AWARAN,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,FARM HOUSEHOLDS,885,5959
